date,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,10%,30%,70%,90%,Min,Median (POR),Max
11-18,26.42,26.6,19.04,22.46,12.38,0.32,33.44,24.98,21.02,21.38,26.96,12.56,24.8,22.64,24.98,26.96,22.28,25.34,35.06,36.68,31.28,29.84,18.5,31.82,30.2,15.62,18.32,11.12,15.62,17.78,33.08,34.34,22.1,2.12,28.94,12.434,18.986,26.96,33.332,0.32,23.72,36.68
11-19,29.48,25.88,15.98,15.98,8.78,8.42,20.84,31.64,24.08,19.58,26.42,13.64,24.8,26.06,34.16,18.32,25.16,26.06,32.54,34.16,25.52,24.8,12.56,31.46,31.28,20.3,18.5,27.86,20.12,23.54,35.06,24.26,29.12,12.02,30.38,12.884,20.066,26.564,32.27,8.42,24.8,35.06
11-20,28.4,20.12,20.84,12.2,14.0,11.66,16.7,27.14,23.72,22.46,26.42,17.24,31.1,32.36,21.74,11.12,28.58,35.96,9.86,25.7,24.98,21.38,18.5,35.06,23.36,26.42,9.32,34.34,27.68,23.72,21.38,12.2,24.62,16.34,20.84,11.822,18.374,26.42,31.982,9.32,22.91,35.96
11-21,30.02,11.48,13.28,11.12,,0.68,28.58,27.5,21.2,28.76,16.88,20.48,28.94,31.46,9.14,11.12,28.76,35.6,0.68,19.4,22.28,16.34,25.52,31.64,4.46,27.86,11.48,31.46,30.92,25.88,15.98,10.76,20.84,19.58,28.22,9.464,14.9,28.148,31.352,0.68,20.84,35.6
11-22,21.56,20.66,1.58,16.7,18.14,-1.12,28.76,27.14,15.26,25.7,13.46,23.36,27.68,34.88,0.32,20.84,30.02,33.98,6.44,21.56,12.2,13.82,26.42,16.34,13.64,25.52,20.3,22.82,37.94,28.4,22.1,12.2,26.42,23.18,29.84,8.168,16.232,25.772,29.642,-1.12,21.56,37.94
11-23,25.52,24.62,4.46,4.64,-5.98,18.32,29.3,15.44,20.3,27.68,11.12,20.12,23.54,18.86,4.64,20.66,26.78,23.72,14.54,16.7,17.24,11.12,32.9,25.52,18.5,18.5,25.16,24.26,40.46,23.36,24.08,18.86,26.24,20.84,20.12,6.584,18.212,24.296,27.41,-5.98,20.48,40.46
11-24,21.2,29.84,16.52,-0.58,-12.82,20.3,31.46,19.58,30.56,25.16,16.88,19.04,19.04,5.0,11.48,23.18,23.9,19.04,17.42,20.12,17.96,-8.86,33.62,29.66,26.96,18.14,29.48,19.22,33.08,20.48,24.44,14.9,17.42,22.82,10.76,6.944,17.906,23.954,30.344,-12.82,19.85,33.62
11-25,14.18,31.64,21.2,5.9,-0.58,21.56,31.82,17.96,24.08,25.7,25.34,17.6,18.68,16.88,9.68,28.04,26.06,20.84,21.56,27.86,26.96,-4.0,19.4,23.54,29.3,23.0,12.02,26.42,30.92,15.26,10.4,19.58,20.48,30.38,14.18,9.896,17.924,25.736,30.056,-4.0,21.38,31.82
11-26,14.18,13.28,19.04,10.94,7.34,10.22,20.66,9.32,22.1,35.42,30.2,21.02,12.74,17.78,13.46,18.14,22.64,19.94,18.32,27.32,26.24,12.74,11.3,10.04,23.54,31.28,3.56,26.78,40.82,18.14,7.52,14.18,28.58,22.28,17.06,9.536,13.226,22.316,29.714,3.56,18.23,40.82
11-27,10.04,5.18,18.32,13.28,11.66,4.46,14.0,14.18,26.6,34.52,29.12,21.2,8.42,26.06,11.84,12.2,12.92,21.74,18.68,25.52,28.94,23.54,26.96,24.26,26.24,33.62,5.18,22.82,28.4,24.26,8.24,17.06,27.86,19.04,16.7,8.294,13.244,25.574,28.778,4.46,20.12,34.52
11-28,7.7,8.06,6.8,14.36,22.46,5.72,20.48,19.04,23.72,32.72,27.14,8.6,10.58,30.2,20.12,4.1,11.84,6.8,10.94,21.2,21.38,17.78,30.92,26.78,26.42,33.62,10.22,18.68,17.06,25.52,15.98,17.24,34.16,3.92,18.14,6.8,10.904,22.586,30.704,3.92,18.23,34.16
